,rstring,convtime,visited,bestfit,bestrule
0,65536,1,180,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3243ed60>
1,0,0,100,"[1.         0.0591716  0.78476331 0.18174134 0.47590871 1.
 0.46627219 0.62721893 0.86390533 0.82248521 0.83136095 0.58698225
 0.         0.77810651 0.37514793 0.33234714 0.47218935 0.69940828
 0.40828402 0.28284024 0.17988166 0.92071006 0.99112426 0.44970414
 0.87179487 0.38579882 0.06863905 0.62840237 1.         0.60946746
 0.94792899 0.65532544 0.7147929  0.54556213 0.40473373 0.46745562
 0.65257819 0.53136095 0.22011834 0.7408284  0.20710059 0.38106509
 0.48267117 0.16094675 0.50532544 1.         0.67692308 0.
 0.7408284  0.77176669 0.34404057 0.77345731 0.33017751 0.
 0.9443787  0.53964497 0.40236686 0.90014793 0.37056213 0.0852071
 0.61183432 0.0556213  0.         0.21499014 0.96449704 0.86153846
 0.69467456 0.19723866 0.13806706 0.5443787  0.23550296 0.51084813
 0.60236686 0.48422091 0.64852071 0.35009862 0.44871795 0.67692308
 0.12510566 0.29881657 0.16863905 0.78934911 0.06982249 0.46627219
 0.49112426 0.66272189 0.63786982 0.90532544 0.79684418 0.34792899
 0.17159763 0.75857988 0.92544379 1.         0.90631164 1.
 0.78343195 0.87810651 0.44378698 0.86272189]",<lifelike.Rulestring.Rulestring object at 0x7f5b3231ff10>
2,0,0,100,"[0.56804734 0.49704142 0.81301775 0.40828402 0.84142012 0.72544379
 0.18934911 0.93136095 0.04930966 0.28772189 0.41335587 1.
 0.01437025 0.26134122 0.50098619 0.35147929 0.85325444 0.47140039
 0.24852071 0.60946746 0.86221471 1.         0.69230769 1.
 0.55502959 0.50059172 0.91800507 0.14708369 0.23175542 0.89940828
 0.52781065 0.55266272 0.50295858 0.95621302 0.78816568 0.23195266
 0.92899408 0.         0.10650888 0.96804734 0.23372781 0.65798817
 0.13846154 0.72071006 0.68131868 1.         0.68047337 0.58579882
 0.55976331 0.11637081 0.30078895 1.         0.85545224 0.16331361
 0.42721893 0.21400394 0.85798817 0.88639053 0.33491124 0.92011834
 0.85325444 0.05207101 0.51282051 0.85207101 0.68047337 0.12228797
 0.65257819 0.39289941 1.         0.67455621 0.27455621 0.31656805
 0.70512821 0.35857988 0.45798817 1.         0.08994083 0.5
 0.         0.47435897 0.09230769 0.22879684 0.10946746 0.84220907
 0.4158918  0.24378698 0.35009862 0.76331361 0.12899408 0.57495069
 0.20879121 1.         0.66272189 0.61775148 0.73203719 0.49822485
 0.0591716  0.92426036 0.35976331 0.99112426]",<lifelike.Rulestring.Rulestring object at 0x7f5b3231f430>
3,0,0,100,"[0.05207101 0.78106509 0.26272189 0.81656805 0.07495069 0.
 0.95621302 0.50493097 0.08974359 0.96351085 0.82938856 0.48323471
 0.8382643  0.52426036 0.40138067 0.26863905 0.96872358 0.65207101
 0.41893491 0.16370809 0.62248521 0.31005917 0.16213018 1.
 0.93786982 0.2556213  0.25680473 0.44674556 0.55128205 0.72071006
 0.15621302 0.39526627 0.47692308 0.60236686 0.52662722 0.19230769
 0.38224852 0.57322485 0.75029586 1.         0.37988166 0.83037475
 0.09270217 0.17751479 1.         0.71360947 0.19881657 0.00887574
 0.01065089 0.38934911 0.56410256 1.         0.40138067 0.77345731
 1.         0.89585799 0.96351085 0.05207101 0.         0.73136095
 0.57495069 0.37278107 0.30532544 0.26035503 0.16990702 0.64023669
 0.33629191 0.95364892 0.50493097 0.         0.2967033  0.22485207
 0.50803043 0.33491124 0.234714   1.         0.         0.74319527
 0.83668639 0.04142012 0.58106509 0.87573964 0.75029586 0.06982249
 0.08481262 0.76331361 0.07593688 0.         0.5        0.72307692
 0.06339814 0.59763314 0.49822485 0.32307692 0.62248521 0.66745562
 1.         0.49013807 0.76686391 0.98323471]",<lifelike.Rulestring.Rulestring object at 0x7f5b324bd520>
4,16,1,180,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3231c730>
5,34824,3,340,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324bceb0>
6,4096,2,260,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3231cb20>
7,2144,3,340,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3243e0d0>
8,4128,4,420,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b32403130>
9,8707,4,420,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3233d820>
