,type,d,p
0,Relative Roulette,83.09347826086957,62.88478260869566
1,Relative Roulette,90.70795454545454,68.06363636363636
2,Relative Roulette,91.27608695652171,65.01739130434783
3,Relative Roulette,53.70609756097561,63.14146341463415
4,Relative Roulette,34.52127659574467,64.22127659574468
5,Relative Roulette,78.37446808510639,62.84893617021278
6,Relative Roulette,94.32666666666667,70.48222222222222
7,Relative Roulette,18.217,62.102
8,Relative Roulette,5.483673469387755,62.0
9,Relative Roulette,65.66744186046512,64.55116279069767
10,Relative Roulette,81.3445652173913,63.321739130434786
11,Relative Roulette,33.07159090909091,65.39772727272727
12,Relative Roulette,48.964,63.106
13,Relative Roulette,17.740816326530613,62.0
14,Relative Roulette,22.014,62.0
15,Relative Roulette,18.47604166666667,62.8375
16,Relative Roulette,10.392857142857142,63.06326530612245
17,Relative Roulette,56.518085106382976,63.378723404255304
18,Relative Roulette,96.11521739130436,67.20434782608694
19,Relative Roulette,95.7159574468085,64.25531914893617
