,type,d,p
0,Relative Roulette,96.73658536585366,73.3268292682927
1,Relative Roulette,73.98076923076921,81.78717948717949
2,Relative Roulette,97.40789473684211,73.1842105263158
3,Relative Roulette,103.67604166666665,64.98541666666667
4,Relative Roulette,110.79893617021277,74.70212765957447
5,Relative Roulette,93.7125,70.28181818181818
6,Relative Roulette,104.88333333333334,73.04888888888888
7,Relative Roulette,102.58854166666667,67.72500000000001
8,Relative Roulette,19.664,62.008
9,Relative Roulette,42.79659090909091,64.12272727272726
10,Relative Roulette,90.27653061224488,63.96326530612245
11,Relative Roulette,107.46794871794872,76.31794871794872
12,Relative Roulette,98.63658536585366,71.89756097560976
13,Relative Roulette,101.18452380952381,69.28571428571429
14,Relative Roulette,55.5236111111111,69.08611111111111
15,Relative Roulette,94.34189189189189,73.41351351351352
16,Relative Roulette,84.02499999999999,75.27307692307691
17,Relative Roulette,99.66071428571429,73.95476190476191
18,Relative Roulette,95.70277777777777,71.46388888888889
19,Relative Roulette,89.01794871794871,72.24102564102564
