,type,d,p
0,Objective Truncation,62.622093023255815,65.89302325581396
1,Objective Truncation,88.11666666666666,65.08666666666666
2,Objective Truncation,27.974,62.0
3,Objective Truncation,101.8811111111111,67.59777777777778
4,Objective Truncation,83.35638297872339,70.10851063829787
5,Objective Truncation,75.21136363636363,85.41363636363636
6,Objective Truncation,70.95625,67.71458333333334
7,Objective Truncation,50.62934782608694,65.40652173913044
8,Objective Truncation,96.140625,66.71041666666667
9,Objective Truncation,9.962,62.0
10,Objective Truncation,87.8890243902439,71.57317073170732
11,Objective Truncation,78.43068181818181,72.45
12,Objective Truncation,23.328000000000003,62.016000000000005
13,Objective Truncation,85.58023255813953,64.13255813953488
14,Objective Truncation,33.03404255319149,62.9595744680851
15,Objective Truncation,70.12659574468086,64.2872340425532
16,Objective Truncation,33.418749999999996,64.67708333333333
17,Objective Truncation,93.9974358974359,72.58974358974359
18,Objective Truncation,27.32439024390244,67.57560975609756
19,Objective Truncation,50.59069767441861,65.34651162790698
