,rstring,convtime,visited,bestrule
0,175670,2,260,0
1,174100,2,260,0
2,234611,2,260,0
3,252282,2,260,0
4,202137,30,2500,256
5,134744,2,260,0
6,19761,2,260,0
7,185780,2,260,0
8,140401,2,260,0
9,159663,2,260,0
10,147345,2,260,0
11,69611,2,260,0
12,209779,2,260,0
13,104537,2,260,0
14,73180,2,260,0
15,246790,2,260,0
16,59808,2,260,0
17,189720,30,2500,256
18,114028,2,260,0
19,62175,2,260,0
20,157573,2,260,0
21,79309,2,260,0
22,158993,2,260,0
23,257923,2,260,0
24,120860,2,260,0
25,158721,2,260,0
26,86240,2,260,0
27,181100,2,260,0
28,83725,2,260,0
29,55234,2,260,0
30,86,1,180,0
31,186078,2,260,0
32,124115,2,260,0
33,27517,2,260,0
34,54147,2,260,0
35,220835,2,260,0
36,12762,2,260,0
37,95637,2,260,0
38,188568,2,260,0
39,106620,2,260,0
40,236102,2,260,0
41,238237,2,260,0
42,16252,2,260,0
43,124514,2,260,0
44,16854,2,260,0
45,32005,2,260,0
46,80456,2,260,0
47,248410,2,260,0
48,195309,2,260,0
49,135546,2,260,0
50,214123,2,260,0
51,45255,2,260,0
52,5166,2,260,0
53,44141,30,2500,256
54,61734,2,260,0
55,144897,2,260,0
56,254182,2,260,0
57,83730,2,260,0
58,194000,2,260,0
59,107905,2,260,0
60,2927,2,260,0
61,85067,30,2500,256
62,73807,9,820,165440
63,231811,2,260,0
64,198889,2,260,0
65,172561,2,260,0
66,88983,2,260,0
67,203519,2,260,0
68,211272,2,260,0
69,205153,30,2500,256
70,69904,2,260,0
71,222192,2,260,0
72,158804,2,260,0
73,245895,2,260,0
74,58058,3,340,131808
75,1852,2,260,0
76,191891,30,2500,256
77,20436,5,500,34052
78,189028,2,260,0
79,31545,2,260,0
80,227377,2,260,0
81,183901,2,260,0
82,191083,2,260,0
83,34862,2,260,0
84,22595,2,260,0
85,208763,2,260,0
86,90400,2,260,0
87,11150,2,260,0
88,31090,2,260,0
89,132603,2,260,0
90,79913,2,260,0
91,27044,2,260,0
92,236638,2,260,0
93,186418,2,260,0
94,244608,2,260,0
95,226827,2,260,0
96,5948,2,260,0
97,46661,2,260,0
98,44919,2,260,0
99,67190,30,2500,256
