,rstring,convtime,visited,bestfit,bestrule
0,65536,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3243ef70>
1,0,0,100,"[1.         0.06508876 0.62721893 0.74704142 0.65285996 0.64666103
 0.51065089 0.22130178 0.39053254 0.56213018 1.         0.27278107
 0.40321217 0.40433925 0.59368836 0.74852071 0.50887574 0.19526627
 0.         0.03994083 0.28886498 0.97988166 0.1739645  0.0887574
 0.45646661 0.72879684 0.41091387 0.90532544 0.17258383 1.
 0.22062553 0.37700761 0.46967456 0.62544379 0.49467456 0.33389687
 0.46661031 0.65934066 0.18441815 0.36554898 0.88313609 0.
 0.25857988 0.43431953 0.99239222 0.12662722 0.20216963 0.87721893
 0.27613412 0.89349112 0.44510191 0.27120316 0.82971729 0.77712032
 0.26627219 1.         0.38001315 0.61275477 0.49967127 0.29467456
 0.93934911 0.90664037 0.45759369 0.68639053 0.40532544 0.40236686
 0.10059172 0.74753452 0.4556213  0.57903635 0.24497041 0.1090448
 0.70414201 0.55029586 0.85038039 0.99408284 0.48652202 0.41050296
 0.73890533 0.86587771 0.52071006 0.5214497  0.30670611 0.51545036
 0.34319527 0.43956044 0.67159763 0.48849441 0.33220626 0.41683103
 0.27337278 0.87573964 0.13778529 0.56607495 0.70677186 0.10453649
 0.47252747 0.52399737 0.43668639 0.82840237]",<lifelike.Rulestring.Rulestring object at 0x7f5b323e3d00>
2,0,0,100,"[0.83262891 0.0887574  0.39391378 0.36094675 0.33136095 0.97781065
 0.1183432  0.67401829 1.         0.8086785  0.32281394 0.34812623
 0.67202029 0.12919132 0.59368836 0.078238   0.49260355 0.89940828
 0.62524655 0.75798817 0.40138067 0.96523669 0.45364892 0.11242604
 0.09044801 0.01923077 0.46844181 0.         0.73076923 0.02736686
 0.87869822 0.35080304 0.6728656  0.17948718 0.61143984 0.26701183
 0.40828402 0.03173749 0.69112426 0.07776839 0.         0.05547337
 0.27928994 0.19695689 1.         0.         0.12256974 0.76331361
 0.79881657 0.59053254 0.61183432 0.99112426 1.         0.46272189
 0.66035503 0.53372781 0.96280642 0.33801775 0.08537616 1.
 0.96449704 0.55251479 0.91631445 0.84911243 0.43550296 0.66035503
 0.65483235 0.70414201 0.         0.71893491 0.81065089 0.23330516
 0.44904668 1.         0.2539827  0.96196112 0.20447074 1.
 1.         0.56476003 0.71499014 0.90278952 0.17278107 0.73541843
 0.67202029 0.71794872 1.         0.63773833 0.69526627 0.10322156
 0.56686391 0.61065089 0.8530572  0.39763314 0.68310322 0.82248521
 0.71538462 0.82586644 0.77810651 0.08678501]",<lifelike.Rulestring.Rulestring object at 0x7f5b3243e790>
3,0,0,100,"[0.53761623 0.04195804 0.87842926 0.38658777 0.30008453 0.45207101
 0.08941486 0.09230769 0.         0.04404997 0.09213863 0.
 0.71005917 0.73372781 0.18343195 0.06508876 0.35897436 0.46351085
 0.         0.06982249 0.77430262 0.10404339 0.9704142  0.66627219
 0.27049873 0.16469428 0.88284024 0.1841716  0.50549451 0.26627219
 0.11538462 0.16272189 0.28205128 0.17514793 0.52578191 0.83939138
 1.         0.64792899 0.67529586 0.87320372 0.27712032 0.03920118
 0.39289941 0.87928994 0.80591716 0.70512821 0.60608622 0.50211327
 0.21301775 0.30834977 0.42485207 0.2816568  0.65443787 0.86916502
 0.24260355 0.51310228 0.18343195 0.4353339  0.40310651 0.66863905
 0.63736264 0.60289283 0.47928994 0.09171598 0.2943787  0.60157791
 0.26035503 0.8852071  0.02071006 0.70710059 0.71597633 0.9933432
 0.34995773 0.62345347 0.33530572 0.96975674 0.         0.81262327
 0.33662064 0.79408284 0.10312764 0.33431953 0.         1.
 0.72485207 0.89398422 0.32544379 0.10295858 0.02011834 0.79289941
 0.60453649 0.66346154 0.93713018 0.19822485 0.04378698 0.4799474
 0.         0.28757396 0.39053254 0.08382643]",<lifelike.Rulestring.Rulestring object at 0x7f5b324bd7c0>
4,16,1,180,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3233cca0>
5,34824,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b322faf10>
6,4096,0,100,"[0.90828402 0.36094675 0.37988166 0.9602705  0.82248521 0.35207101
 0.39898563 0.9602705  0.87573964 0.39151874 0.31576116 0.46830093
 0.51972387 0.27317554 0.84911243 0.16494083 0.86390533 0.27928994
 0.45364892 0.06213018 0.17869822 0.63708087 0.46745562 0.61792054
 0.29980276 0.95266272 0.61143984 0.11612426 0.55843195 0.59763314
 1.         0.90828402 0.62307692 0.68836292 0.37218935 0.93819855
 0.14201183 0.74654832 0.6035503  0.77736686 0.70710059 0.04635108
 0.31213018 0.93660186 0.45266272 0.84023669 0.17672584 0.69822485
 0.12130178 0.08698225 0.89940828 0.44615385 0.04635108 0.4816568
 0.35009862 0.93096647 0.31065089 0.12204142 0.57159763 0.53136095
 0.36348267 0.66187658 0.9602705  0.38535503 0.95364892 0.80769231
 0.68343195 0.46942801 0.79289941 0.9443787  0.51360947 0.30554061
 0.03476331 0.60798817 0.27303466 0.08974359 0.48594675 0.07955293
 0.0397295  0.33727811 0.14003945 0.48422091 0.72442942 0.92899408
 0.84023669 0.40680473 0.46844181 0.534235   0.04970414 0.9112426
 0.9112426  0.18491124 0.34742181 0.5982906  0.88639053 0.22189349
 0.52240068 0.10532544 0.46153846 0.5433925 ]",<lifelike.Rulestring.Rulestring object at 0x7f5b32422fa0>
7,2144,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3239adc0>
8,4128,3,340,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3243e850>
9,8707,7,660,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b32435f10>
10,1616,5,500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324b76d0>
11,388,30,2500,0.9893491124260355,<lifelike.Rulestring.Rulestring object at 0x7f5b32425a30>
12,144640,30,2500,0.9301775147928995,<lifelike.Rulestring.Rulestring object at 0x7f5b324ba1c0>
13,64,0,100,"[0.68892646 0.62278107 0.02366864 0.62721893 0.77007608 0.84615385
 0.02366864 0.06593407 0.0243261  0.62248521 0.02761341 0.51972387
 0.24970414 0.43431953 0.30276134 1.         0.52747253 0.47498655
 0.39475909 0.21671598 0.57772996 0.4489645  0.96686391 0.52588757
 1.         0.46914624 0.1669954  0.96686391 0.89571006 0.22001076
 0.734714   0.1978022  0.30092984 0.47435897 0.94505495 0.08382643
 0.68713018 0.386306   0.02426036 0.19526627 0.97633136 0.20710059
 0.78500986 0.14792899 0.91518738 0.54545455 0.69723866 0.734714
 0.61200338 0.72130178 0.14032122 0.79408284 0.04311074 0.03313609
 0.62662722 0.32938856 0.2352071  0.91518738 0.0658284  0.90532544
 0.01840894 0.44115713 0.73635766 0.78599606 0.65483235 0.39053254
 0.36686391 0.68284024 0.05494505 0.43786982 0.63668639 0.41715976
 0.26331361 0.74792899 0.08678501 0.31597633 0.31868132 0.9193787
 0.29171598 0.97633136 0.73668639 0.47018662 0.27284681 0.10872781
 0.42504931 0.32037194 0.48689772 0.31656805 0.60473373 0.79289941
 0.91321499 0.44615385 0.80887574 0.70532544 0.40473373 0.10552268
 0.96035503 0.40659341 0.33136095 0.22287968]",<lifelike.Rulestring.Rulestring object at 0x7f5b323aa940>
14,8482,30,2500,0.9923922231614539,<lifelike.Rulestring.Rulestring object at 0x7f5b3233d070>
15,4,0,100,"[0.65147929 0.89612097 0.11888112 0.31952663 0.14053254 0.22189349
 0.21301775 0.92262176 0.10502959 1.         0.55502959 0.37447168
 0.42307692 0.4852071  0.75384615 0.14623838 0.60576923 0.66050296
 0.65088757 0.71005917 0.23922232 0.76213018 0.49506903 0.68892646
 0.5887574  0.60524091 0.73541843 0.72189349 0.06086221 0.75641026
 0.33530572 0.15976331 0.93913779 0.26923077 0.03402367 0.06086221
 0.92209073 0.89518174 0.05325444 0.33210059 0.04260355 0.54099746
 0.22879684 0.42307692 0.29704142 0.70076078 0.79827864 0.5964497
 0.04733728 0.9147929  0.50769231 0.75976331 0.56213018 0.58801775
 0.86653517 0.74640744 0.5147929  0.31816113 0.7800789  0.09533202
 0.1693787  0.65779093 0.35879505 0.72320842 0.71597633 0.67455621
 0.44733728 0.37080868 0.37869822 0.04733728 0.62011834 0.11439842
 0.43786982 0.67032967 0.234714   0.8869165  0.80144642 0.38698225
 0.82248521 0.92899408 0.59763314 0.72781065 0.80473373 0.40828402
 0.41288626 0.70857988 0.45890861 0.20473373 0.74792899 0.48047337
 0.65162722 0.87130178 0.06086221 0.94477318 0.50221893 0.3425378
 0.92899408 0.91198225 0.07100592 0.59566075]",<lifelike.Rulestring.Rulestring object at 0x7f5b323c2ee0>
16,1234,5,500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324b7790>
17,135690,30,2500,0.9475908706677938,<lifelike.Rulestring.Rulestring object at 0x7f5b323e63d0>
18,3086,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323971f0>
19,26720,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323b8520>
20,32992,4,420,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b322f9100>
21,18460,7,660,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3233a2b0>
22,16388,3,340,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b32397820>
23,82451,6,580,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323bb070>
24,2598,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324bc1f0>
25,8625,30,2500,0.9927679158448389,<lifelike.Rulestring.Rulestring object at 0x7f5b3242dcd0>
26,2062,3,340,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323190d0>
27,64,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323bb280>
28,17124,7,660,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324bd9d0>
29,22945,30,2500,0.9933431952662722,<lifelike.Rulestring.Rulestring object at 0x7f5b323f2340>
