,rstring,convtime,visited,bestrule
0,150454,30,458,69056
1,210963,30,449,199505
2,123626,30,457,73659
3,221441,30,450,76044
4,26484,30,413,34418
5,3409,30,431,114060
6,94032,30,478,42795
7,138302,30,468,188756
8,205787,30,494,66355
9,3776,30,453,118932
10,109334,30,437,22025
11,50928,30,439,54344
12,258135,30,430,252284
13,28045,30,449,65173
14,35582,30,477,133161
15,210828,30,447,107619
16,108837,30,441,185368
17,78591,30,389,193255
18,220287,30,484,191470
19,64061,30,413,149694
20,76583,30,427,202303
21,127281,30,448,211406
22,256642,30,474,170656
23,240313,30,467,182319
24,123547,30,390,74410
25,115669,30,451,39749
26,124201,30,485,50346
27,184533,30,434,80594
28,53680,30,454,5537
29,60986,30,465,194989
30,153840,30,460,74386
31,23767,30,452,140382
32,53157,30,458,219771
33,34862,30,446,251500
34,84672,30,442,142612
35,186558,30,461,254995
36,220506,30,482,228823
37,5242,30,482,116936
38,43271,30,407,177459
39,192568,30,444,242093
40,120608,30,431,140664
41,134581,30,474,260291
42,94623,30,469,96937
43,43852,30,458,199203
44,87828,30,437,158890
45,65203,30,465,24266
46,10652,30,443,94696
47,219215,30,443,83637
48,110024,30,476,101724
49,183313,30,468,122294
50,232940,30,439,81870
51,55695,30,458,210271
52,255074,30,470,56415
53,54904,30,478,84017
54,219865,30,451,228099
55,219208,30,450,200840
56,34786,30,447,32419
57,195843,30,472,77481
58,116114,30,450,97100
59,108224,30,476,248970
60,196262,30,446,62089
61,203668,30,456,90347
62,203761,30,448,123603
63,141752,30,475,146986
64,131527,30,457,136205
65,141512,30,466,74347
66,246897,30,460,196089
67,85851,30,498,76206
68,6055,30,427,8895
69,20963,30,452,92534
70,78016,30,470,166389
71,165683,30,464,24957
72,246344,30,474,134183
73,170748,30,451,162017
74,250744,30,464,186185
75,49981,30,471,105744
76,179735,30,420,216839
77,252150,30,430,185332
78,164775,30,424,171847
79,13043,30,501,218892
80,154258,30,457,104901
81,26258,30,447,150102
82,186122,30,471,209920
83,195105,30,483,241814
84,27839,30,485,201981
85,45123,30,455,95898
86,226116,30,457,109557
87,258845,30,453,101200
88,246401,30,489,188675
89,133725,30,453,238180
90,138433,30,456,223066
91,10995,30,447,34384
92,189924,30,485,144670
93,104359,30,452,89719
94,212203,30,431,195321
95,21216,30,453,193939
96,232081,30,472,122948
97,205783,30,454,237519
98,36020,30,452,173645
99,190168,30,478,130501
