,epoch,vals
0,0,1154
1,0,0
2,0,5128
3,0,1538
4,0,0
5,0,0
6,0,12
7,0,140
8,0,272
9,0,129
10,0,3072
11,0,1153
12,0,4169
13,0,0
14,0,256
15,0,1304
16,0,0
17,0,264
18,0,4104
19,0,9734
20,0,9216
21,0,8457
22,0,2089
23,0,3088
24,0,3139
25,0,9486
26,0,5531
27,0,16425
28,0,10280
29,0,7035
30,0,12455
31,0,20772
32,0,17529
33,0,14319
34,0,14711
35,0,15102
36,0,25514
37,0,27165
38,0,28495
39,0,28625
40,0,30539
41,0,27387
42,0,27327
43,0,28127
44,0,31991
45,0,35362
46,0,32768
47,0,37920
48,0,32772
49,0,33825
50,1,1154
51,1,3072
52,1,1057
53,1,257
54,1,265
55,1,1563
56,1,36
57,1,193
58,1,4248
59,1,1156
60,1,4160
61,1,0
62,1,4104
63,1,520
64,1,0
65,1,264
66,1,256
67,1,0
68,1,5128
69,1,1538
70,1,0
71,1,0
72,1,12
73,1,140
74,1,1304
75,1,272
76,1,3072
77,1,1153
78,1,4
79,1,0
80,1,129
81,1,4105
82,1,9216
83,1,9734
84,1,3337
85,1,2088
86,1,5392
87,1,2089
88,1,8457
89,1,9482
90,1,3091
91,1,3088
92,1,8463
93,1,4169
94,1,3139
95,1,10240
96,1,9484
97,1,3088
98,1,9486
99,1,5152
100,2,1154
101,2,193
102,2,0
103,2,6
104,2,5130
105,2,1304
106,2,1542
107,2,1
108,2,1289
109,2,280
110,2,2056
111,2,1
112,2,192
113,2,152
114,2,1057
115,2,4096
116,2,280
117,2,1024
118,2,514
119,2,1217
120,2,137
121,2,4096
122,2,0
123,2,1538
124,2,32
125,2,5377
126,2,4161
127,2,1061
128,2,1544
129,2,271
130,2,4169
131,2,1304
132,2,3072
133,2,4105
134,2,12
135,2,1304
136,2,0
137,2,272
138,2,0
139,2,1538
140,2,3072
141,2,1153
142,2,5128
143,2,4
144,2,0
145,2,0
146,2,1057
147,2,256
148,2,0
149,2,257
150,3,1154
151,3,1536
152,3,0
153,3,9
154,3,512
155,3,774
156,3,2049
157,3,50
158,3,517
159,3,1032
160,3,65
161,3,1
162,3,192
163,3,0
164,3,0
165,3,256
166,3,1057
167,3,0
168,3,0
169,3,1288
170,3,4
171,3,1217
172,3,1
173,3,260
174,3,515
175,3,4417
176,3,4
177,3,4224
178,3,1304
179,3,198
180,3,0
181,3,1537
182,3,1
183,3,33
184,3,1024
185,3,8
186,3,1217
187,3,1548
188,3,0
189,3,0
190,3,1056
191,3,4
192,3,257
193,3,1153
194,3,5128
195,3,137
196,3,1217
197,3,514
198,3,1024
199,3,280
200,4,1154
201,4,192
202,4,4737
203,4,0
204,4,198
205,4,65
206,4,514
207,4,65
208,4,1217
209,4,525
210,4,774
211,4,1065
212,4,512
213,4,4352
214,4,2113
215,4,770
216,4,1548
217,4,5
218,4,1
219,4,1024
220,4,514
221,4,0
222,4,2310
223,4,516
224,4,1216
225,4,513
226,4,0
227,4,137
228,4,1028
229,4,129
230,4,258
231,4,1158
232,4,2048
233,4,514
234,4,1
235,4,512
236,4,100
237,4,64
238,4,1281
239,4,1224
240,4,4353
241,4,24
242,4,324
243,4,4424
244,4,530
245,4,1217
246,4,280
247,4,5128
248,4,137
249,4,4
250,5,1154
251,5,5510
252,5,256
253,5,770
254,5,0
255,5,774
256,5,512
257,5,4353
258,5,12
259,5,778
260,5,1560
261,5,1613
262,5,0
263,5,2
264,5,1984
265,5,64
266,5,137
267,5,5128
268,5,280
269,5,514
270,5,1217
271,5,519
272,5,129
273,5,2305
274,5,1121
275,5,3329
276,5,514
277,5,520
278,5,0
279,5,577
280,5,1158
281,5,258
282,5,1
283,5,289
284,5,4354
285,5,513
286,5,137
287,5,1744
288,5,1
289,5,1220
290,5,1153
291,5,2310
292,5,530
293,5,4
294,5,324
295,5,4424
296,5,514
297,5,1024
298,5,1
299,5,5
300,6,1154
301,6,1092
302,6,514
303,6,512
304,6,1793
305,6,192
306,6,0
307,6,514
308,6,5
309,6,4612
310,6,774
311,6,5376
312,6,6
313,6,1638
314,6,513
315,6,1
316,6,1024
317,6,514
318,6,353
319,6,256
320,6,610
321,6,259
322,6,1156
323,6,6
324,6,0
325,6,6
326,6,1024
327,6,1538
328,6,792
329,6,4424
330,6,324
331,6,34
332,6,593
333,6,513
334,6,1024
335,6,128
336,6,257
337,6,4929
338,6,264
339,6,128
340,6,513
341,6,4
342,6,5
343,6,2310
344,6,530
345,6,519
346,6,1217
347,6,514
348,6,280
349,6,5128
350,7,1154
351,7,256
352,7,170
353,7,774
354,7,1162
355,7,0
356,7,1032
357,7,789
358,7,326
359,7,328
360,7,65
361,7,256
362,7,513
363,7,0
364,7,1216
365,7,265
366,7,280
367,7,514
368,7,1217
369,7,1158
370,7,4626
371,7,196
372,7,513
373,7,5122
374,7,408
375,7,792
376,7,513
377,7,4610
378,7,34
379,7,1154
380,7,1348
381,7,513
382,7,1554
383,7,531
384,7,70
385,7,1152
386,7,2
387,7,516
388,7,545
389,7,320
390,7,68
391,7,4613
392,7,519
393,7,530
394,7,5128
395,7,5
396,7,1156
397,7,259
398,7,610
399,7,256
400,8,1154
401,8,518
402,8,1122
403,8,2
404,8,4628
405,8,1378
406,8,2210
407,8,1032
408,8,4800
409,8,4738
410,8,513
411,8,1153
412,8,833
413,8,19
414,8,1035
415,8,528
416,8,33
417,8,1154
418,8,547
419,8,610
420,8,1152
421,8,259
422,8,1216
423,8,321
424,8,1541
425,8,132
426,8,193
427,8,644
428,8,324
429,8,5248
430,8,533
431,8,531
432,8,1537
433,8,452
434,8,408
435,8,4164
436,8,514
437,8,1154
438,8,130
439,8,1554
440,8,4626
441,8,408
442,8,0
443,8,1162
444,8,1156
445,8,256
446,8,5128
447,8,513
448,8,196
449,8,4626
450,9,1154
451,9,1035
452,9,5762
453,9,1153
454,9,522
455,9,1634
456,9,1029
457,9,324
458,9,408
459,9,1542
460,9,132
461,9,2577
462,9,533
463,9,129
464,9,833
465,9,1153
466,9,292
467,9,1058
468,9,2
469,9,409
470,9,1432
471,9,4738
472,9,196
473,9,194
474,9,708
475,9,197
476,9,1410
477,9,644
478,9,5128
479,9,4624
480,9,1152
481,9,324
482,9,165
483,9,1476
484,9,1153
485,9,267
486,9,1537
487,9,1555
488,9,640
489,9,1043
490,9,5122
491,9,1160
492,9,1156
493,9,4244
494,9,128
495,9,1032
496,9,513
497,9,4626
498,9,256
499,9,1152
500,10,1154
501,10,1164
502,10,320
503,10,1541
504,10,1032
505,10,1476
506,10,5130
507,10,1154
508,10,198
509,10,1538
510,10,1032
511,10,166
512,10,260
513,10,1035
514,10,1187
515,10,3203
516,10,133
517,10,259
518,10,2
519,10,1555
520,10,5762
521,10,4098
522,10,4228
523,10,644
524,10,194
525,10,3201
526,10,4352
527,10,1173
528,10,1542
529,10,257
530,10,1163
531,10,1045
532,10,523
533,10,256
534,10,786
535,10,1664
536,10,1476
537,10,2
538,10,228
539,10,1190
540,10,256
541,10,1032
542,10,1730
543,10,19
544,10,4673
545,10,4626
546,10,1152
547,10,1032
548,10,196
549,10,4738
550,11,1154
551,11,260
552,11,1682
553,11,5760
554,11,1792
555,11,1066
556,11,262
557,11,644
558,11,4627
559,11,1154
560,11,256
561,11,261
562,11,1538
563,11,6
564,11,1701
565,11,1190
566,11,196
567,11,1032
568,11,1152
569,11,530
570,11,4626
571,11,4619
572,11,4
573,11,210
574,11,4228
575,11,1038
576,11,1218
577,11,1032
578,11,4228
579,11,1476
580,11,1554
581,11,194
582,11,1156
583,11,1539
584,11,1675
585,11,2
586,11,1164
587,11,288
588,11,1547
589,11,1331
590,11,1796
591,11,1297
592,11,4673
593,11,4738
594,11,1730
595,11,19
596,11,5762
597,11,1555
598,11,2
599,11,259
600,12,1154
601,12,17
602,12,4675
603,12,1795
604,12,1328
605,12,1538
606,12,1027
607,12,200
608,12,260
609,12,288
610,12,900
611,12,1152
612,12,274
613,12,3
614,12,1835
615,12,214
616,12,1954
617,12,2
618,12,1555
619,12,1152
620,12,1472
621,12,1675
622,12,8
623,12,844
624,12,140
625,12,1547
626,12,130
627,12,523
628,12,1223
629,12,1542
630,12,651
631,12,260
632,12,4228
633,12,1026
634,12,1586
635,12,659
636,12,128
637,12,4228
638,12,132
639,12,1038
640,12,1446
641,12,1540
642,12,5762
643,12,19
644,12,259
645,12,4738
646,12,1730
647,12,530
648,12,1152
649,12,1032
650,13,1154
651,13,5252
652,13,200
653,13,456
654,13,214
655,13,1540
656,13,1154
657,13,3074
658,13,4120
659,13,8
660,13,17
661,13,1223
662,13,1171
663,13,656
664,13,1553
665,13,147
666,13,0
667,13,1152
668,13,530
669,13,19
670,13,274
671,13,651
672,13,1586
673,13,4
674,13,4227
675,13,1577
676,13,1920
677,13,147
678,13,4226
679,13,5764
680,13,1539
681,13,1842
682,13,134
683,13,214
684,13,1030
685,13,5762
686,13,1835
687,13,214
688,13,1447
689,13,1223
690,13,1026
691,13,4738
692,13,1730
693,13,4738
694,13,1032
695,13,19
696,13,8
697,13,1675
698,13,1472
699,13,1152
700,14,1154
701,14,5122
702,14,728
703,14,4
704,14,1562
705,14,194
706,14,1056
707,14,665
708,14,132
709,14,1670
710,14,4234
711,14,147
712,14,1561
713,14,20
714,14,5761
715,14,180
716,14,17
717,14,1472
718,14,1675
719,14,203
720,14,1218
721,14,1968
722,14,130
723,14,8
724,14,4
725,14,4099
726,14,1216
727,14,1032
728,14,199
729,14,1026
730,14,1032
731,14,4114
732,14,1536
733,14,392
734,14,5760
735,14,1569
736,14,1734
737,14,1220
738,14,203
739,14,4296
740,14,1553
741,14,5123
742,14,8
743,14,19
744,14,1152
745,14,4738
746,14,1032
747,14,651
748,14,274
749,14,19
750,15,1154
751,15,8
752,15,1298
753,15,1216
754,15,1156
755,15,4610
756,15,1555
757,15,1178
758,15,19
759,15,1065
760,15,1664
761,15,4113
762,15,1568
763,15,1666
764,15,274
765,15,651
766,15,1032
767,15,4738
768,15,203
769,15,1032
770,15,132
771,15,4
772,15,1032
773,15,1033
774,15,18
775,15,4743
776,15,198
777,15,17
778,15,1050
779,15,194
780,15,1152
781,15,1668
782,15,147
783,15,1571
784,15,384
785,15,8
786,15,1056
787,15,1056
788,15,1219
789,15,138
790,15,530
791,15,19
792,15,19
793,15,5123
794,15,203
795,15,8
796,15,1675
797,15,1472
798,15,17
799,15,180
800,16,1154
801,16,18
802,16,17
803,16,128
804,16,194
805,16,1032
806,16,657
807,16,4107
808,16,659
809,16,2187
810,16,160
811,16,4804
812,16,7
813,16,194
814,16,1158
815,16,1034
816,16,24
817,16,203
818,16,19
819,16,17
820,16,192
821,16,10
822,16,4618
823,16,308
824,16,1027
825,16,1540
826,16,1432
827,16,4743
828,16,1675
829,16,1034
830,16,272
831,16,1491
832,16,0
833,16,1472
834,16,1163
835,16,4742
836,16,651
837,16,457
838,16,203
839,16,1035
840,16,1219
841,16,5764
842,16,1178
843,16,4
844,16,704
845,16,1675
846,16,180
847,16,203
848,16,1032
849,16,4
850,17,1154
851,17,194
852,17,194
853,17,17
854,17,1163
855,17,1160
856,17,136
857,17,1034
858,17,4804
859,17,1553
860,17,2179
861,17,64
862,17,715
863,17,518
864,17,4740
865,17,1158
866,17,1032
867,17,203
868,17,180
869,17,195
870,17,1675
871,17,4
872,17,139
873,17,1032
874,17,7
875,17,522
876,17,5255
877,17,1032
878,17,1216
879,17,8
880,17,448
881,17,1707
882,17,656
883,17,1051
884,17,4106
885,17,1674
886,17,641
887,17,16
888,17,128
889,17,176
890,17,192
891,17,195
892,17,704
893,17,4
894,17,1178
895,17,4
896,17,192
897,17,17
898,17,19
899,17,203
900,18,1154
901,18,529
902,18,192
903,18,1200
904,18,139
905,18,705
906,18,2227
907,18,200
908,18,4740
909,18,1416
910,18,1178
911,18,708
912,18,195
913,18,1553
914,18,19
915,18,17
916,18,192
917,18,4
918,18,4
919,18,4753
920,18,7
921,18,192
922,18,64
923,18,4290
924,18,1088
925,18,4744
926,18,139
927,18,1163
928,18,192
929,18,4
930,18,1178
931,18,4744
932,18,1218
933,18,192
934,18,1553
935,18,203
936,18,522
937,18,203
938,18,27
939,18,1
940,18,1159
941,18,4
942,18,203
943,18,195
944,18,1675
945,18,704
946,18,195
947,18,180
948,18,203
949,18,1032
950,19,1154
951,19,1200
952,19,2244
953,19,2688
954,19,17
955,19,1178
956,19,22
957,19,963
958,19,192
959,19,19
960,19,1160
961,19,522
962,19,724
963,19,1163
964,19,195
965,19,706
966,19,135
967,19,203
968,19,180
969,19,1099
970,19,26
971,19,1156
972,19,1211
973,19,0
974,19,198
975,19,10
976,19,707
977,19,194
978,19,1202
979,19,4616
980,19,202
981,19,5
982,19,17
983,19,208
984,19,1448
985,19,154
986,19,537
987,19,132
988,19,4100
989,19,200
990,19,1411
991,19,2440
992,19,195
993,19,704
994,19,1032
995,19,195
996,19,1675
997,19,192
998,19,7
999,19,4753
1000,20,1154
1001,20,1224
1002,20,26
1003,20,780
1004,20,8
1005,20,4739
1006,20,465
1007,20,244
1008,20,1218
1009,20,203
1010,20,537
1011,20,1156
1012,20,155
1013,20,1041
1014,20,386
1015,20,140
1016,20,7
1017,20,192
1018,20,1675
1019,20,148
1020,20,195
1021,20,4119
1022,20,4
1023,20,2688
1024,20,963
1025,20,4
1026,20,657
1027,20,707
1028,20,1677
1029,20,2176
1030,20,1156
1031,20,5
1032,20,28
1033,20,1024
1034,20,1154
1035,20,1188
1036,20,1674
1037,20,27
1038,20,131
1039,20,197
1040,20,199
1041,20,458
1042,20,195
1043,20,1032
1044,20,4753
1045,20,195
1046,20,26
1047,20,704
1048,20,180
1049,20,203
1050,21,1154
1051,21,17
1052,21,517
1053,21,180
1054,21,192
1055,21,581
1056,21,1154
1057,21,148
1058,21,1288
1059,21,407
1060,21,1236
1061,21,1156
1062,21,1218
1063,21,899
1064,21,1073
1065,21,180
1066,21,704
1067,21,26
1068,21,195
1069,21,195
1070,21,4753
1071,21,4098
1072,21,208
1073,21,5127
1074,21,8
1075,21,567
1076,21,1226
1077,21,26
1078,21,641
1079,21,1168
1080,21,228
1081,21,4
1082,21,6
1083,21,1154
1084,21,2
1085,21,1178
1086,21,458
1087,21,1226
1088,21,28
1089,21,667
1090,21,1027
1091,21,1284
1092,21,1032
1093,21,203
1094,21,458
1095,21,195
1096,21,195
1097,21,148
1098,21,1675
1099,21,192
1100,22,1154
1101,22,667
1102,22,1621
1103,22,180
1104,22,667
1105,22,1232
1106,22,1210
1107,22,586
1108,22,1701
1109,22,1288
1110,22,707
1111,22,646
1112,22,1163
1113,22,324
1114,22,181
1115,22,194
1116,22,1675
1117,22,148
1118,22,195
1119,22,1251
1120,22,195
1121,22,1236
1122,22,1227
1123,22,26
1124,22,1160
1125,22,230
1126,22,179
1127,22,20
1128,22,1424
1129,22,202
1130,22,660
1131,22,4995
1132,22,195
1133,22,4291
1134,22,4098
1135,22,900
1136,22,178
1137,22,228
1138,22,644
1139,22,1093
1140,22,218
1141,22,195
1142,22,458
1143,22,192
1144,22,1032
1145,22,203
1146,22,195
1147,22,26
1148,22,704
1149,22,180
1150,23,1154
1151,23,1211
1152,23,66
1153,23,522
1154,23,704
1155,23,1155
1156,23,1425
1157,23,203
1158,23,195
1159,23,1621
1160,23,1233
1161,23,1096
1162,23,667
1163,23,1109
1164,23,181
1165,23,704
1166,23,26
1167,23,195
1168,23,203
1169,23,645
1170,23,1032
1171,23,705
1172,23,129
1173,23,136
1174,23,1050
1175,23,195
1176,23,164
1177,23,394
1178,23,1349
1179,23,205
1180,23,1123
1181,23,1216
1182,23,1154
1183,23,1669
1184,23,1619
1185,23,212
1186,23,26
1187,23,4098
1188,23,4995
1189,23,60
1190,23,226
1191,23,1192
1192,23,192
1193,23,180
1194,23,195
1195,23,458
1196,23,1236
1197,23,195
1198,23,1251
1199,23,195
1200,24,1154
1201,24,448
1202,24,192
1203,24,1129
1204,24,704
1205,24,1621
1206,24,1211
1207,24,1991
1208,24,64
1209,24,1099
1210,24,527
1211,24,4995
1212,24,163
1213,24,1219
1214,24,192
1215,24,180
1216,24,546
1217,24,1251
1218,24,195
1219,24,194
1220,24,706
1221,24,1155
1222,24,1107
1223,24,467
1224,24,1155
1225,24,167
1226,24,5060
1227,24,148
1228,24,195
1229,24,1219
1230,24,170
1231,24,24
1232,24,1192
1233,24,707
1234,24,128
1235,24,1621
1236,24,970
1237,24,4227
1238,24,1088
1239,24,200
1240,24,195
1241,24,1122
1242,24,1236
1243,24,458
1244,24,195
1245,24,180
1246,24,195
1247,24,1032
1248,24,645
1249,24,203
1250,25,1154
1251,25,138
1252,25,1156
1253,25,738
1254,25,448
1255,25,195
1256,25,203
1257,25,1192
1258,25,195
1259,25,5059
1260,25,1621
1261,25,167
1262,25,1557
1263,25,131
1264,25,1099
1265,25,1187
1266,25,645
1267,25,1032
1268,25,195
1269,25,1251
1270,25,515
1271,25,1482
1272,25,131
1273,25,1048
1274,25,192
1275,25,195
1276,25,1049
1277,25,4291
1278,25,162
1279,25,963
1280,25,148
1281,25,1991
1282,25,1088
1283,25,724
1284,25,1224
1285,25,674
1286,25,195
1287,25,131
1288,25,1258
1289,25,1621
1290,25,98
1291,25,195
1292,25,180
1293,25,195
1294,25,203
1295,25,1236
1296,25,706
1297,25,458
1298,25,194
1299,25,195
1300,26,1154
1301,26,707
1302,26,129
1303,26,647
1304,26,134
1305,26,1079
1306,26,1032
1307,26,724
1308,26,451
1309,26,195
1310,26,195
1311,26,202
1312,26,139
1313,26,100
1314,26,4232
1315,26,1251
1316,26,674
1317,26,202
1318,26,194
1319,26,458
1320,26,195
1321,26,706
1322,26,192
1323,26,1258
1324,26,195
1325,26,199
1326,26,449
1327,26,1236
1328,26,712
1329,26,1188
1330,26,1995
1331,26,199
1332,26,200
1333,26,1259
1334,26,640
1335,26,1051
1336,26,194
1337,26,168
1338,26,4299
1339,26,738
1340,26,4163
1341,26,448
1342,26,64
1343,26,1236
1344,26,1236
1345,26,195
1346,26,195
1347,26,203
1348,26,515
1349,26,1251
1350,27,1154
1351,27,1233
1352,27,726
1353,27,490
1354,27,712
1355,27,226
1356,27,547
1357,27,4162
1358,27,200
1359,27,714
1360,27,203
1361,27,194
1362,27,647
1363,27,712
1364,27,201
1365,27,1219
1366,27,116
1367,27,199
1368,27,1251
1369,27,515
1370,27,644
1371,27,646
1372,27,135
1373,27,100
1374,27,1024
1375,27,1236
1376,27,459
1377,27,195
1378,27,459
1379,27,1223
1380,27,1236
1381,27,1236
1382,27,706
1383,27,203
1384,27,203
1385,27,1051
1386,27,227
1387,27,1216
1388,27,227
1389,27,161
1390,27,711
1391,27,202
1392,27,458
1393,27,2242
1394,27,67
1395,27,195
1396,27,1251
1397,27,1236
1398,27,706
1399,27,195
1400,28,1154
1401,28,1219
1402,28,1251
1403,28,647
1404,28,1232
1405,28,1179
1406,28,1105
1407,28,2245
1408,28,931
1409,28,459
1410,28,1092
1411,28,195
1412,28,131
1413,28,706
1414,28,195
1415,28,706
1416,28,628
1417,28,706
1418,28,1236
1419,28,1027
1420,28,1664
1421,28,1051
1422,28,117
1423,28,483
1424,28,971
1425,28,708
1426,28,1250
1427,28,2243
1428,28,163
1429,28,225
1430,28,490
1431,28,75
1432,28,1154
1433,28,2434
1434,28,73
1435,28,200
1436,28,1033
1437,28,200
1438,28,484
1439,28,1152
1440,28,1123
1441,28,644
1442,28,1251
1443,28,195
1444,28,195
1445,28,2242
1446,28,67
1447,28,644
1448,28,515
1449,28,1251
1450,29,1154
1451,29,1121
1452,29,119
1453,29,706
1454,29,362
1455,29,195
1456,29,515
1457,29,628
1458,29,2498
1459,29,130
1460,29,711
1461,29,515
1462,29,971
1463,29,515
1464,29,644
1465,29,67
1466,29,2242
1467,29,195
1468,29,71
1469,29,201
1470,29,628
1471,29,1088
1472,29,964
1473,29,163
1474,29,1097
1475,29,195
1476,29,1171
1477,29,1152
1478,29,708
1479,29,1387
1480,29,195
1481,29,971
1482,29,161
1483,29,200
1484,29,128
1485,29,1668
1486,29,1666
