,rstring,convtime,visited,bestrule
0,185803,8,101,185803
1,30827,7,102,30827
2,185433,6,103,185433
3,66248,4,79,66248
4,181764,9,138,181764
5,183637,6,103,183637
6,50710,7,110,50710
7,228583,6,97,228583
8,42458,10,129,42458
9,106179,11,168,106179
10,45585,3,58,45585
11,239107,10,150,239107
12,183567,8,115,183567
13,30756,8,116,30756
14,239424,8,125,239424
15,104174,6,106,104174
16,81797,4,71,81797
17,47372,8,119,47372
18,202865,10,131,202865
19,186270,4,76,186270
20,100229,7,112,100229
21,85446,15,179,85446
22,120985,12,176,120985
23,112907,8,123,112907
24,63357,8,128,63357
25,124902,9,141,124902
26,34142,11,149,34142
27,255090,9,149,255090
28,20472,13,143,20472
29,13675,12,158,13675
30,135015,6,95,135015
31,41736,7,114,41736
32,126432,5,82,126432
33,212422,15,144,212422
34,205778,4,80,205778
35,85849,10,137,85849
36,101820,4,74,101820
37,145044,6,100,145044
38,116540,7,113,116540
39,21230,13,156,21230
40,180994,5,96,180994
41,181171,11,158,181171
42,121433,8,124,121433
43,233228,7,116,233228
44,119414,9,146,119414
45,11988,9,132,11988
46,16479,8,109,16479
47,55669,7,107,55669
48,146509,14,169,146509
49,189593,6,103,189593
50,58804,6,104,58804
51,92513,9,131,92513
52,176434,9,146,176434
53,161887,11,159,161887
54,122575,4,70,122575
55,144173,5,86,144173
56,111405,10,140,111405
57,253627,9,133,253627
58,232969,9,145,232969
59,103922,8,129,103922
60,242603,6,91,242603
61,182543,5,93,182543
62,73069,15,191,73069
63,186848,6,107,186848
64,115674,8,122,115674
65,61162,15,167,61162
66,67251,11,152,67251
67,169618,11,155,169618
68,163109,12,176,163109
69,141369,11,142,141369
70,235266,6,97,235266
71,47587,9,148,47587
72,127132,6,106,127132
73,229580,3,65,229580
74,235329,7,114,235329
75,176551,11,146,176551
76,219317,7,121,219317
77,243371,7,110,243371
78,85015,11,159,85015
79,221490,10,124,221490
80,249398,9,133,249398
81,97240,13,168,97240
82,14163,14,182,14163
83,176546,11,169,176546
84,109497,8,111,109497
85,187535,12,143,187535
86,40787,12,153,40787
87,132062,12,173,132062
88,85932,12,149,85932
89,72711,9,116,72711
90,105340,7,103,105340
91,97093,15,195,97093
92,136047,9,129,136047
93,148694,5,96,148694
94,150422,7,121,150422
95,75722,9,114,75722
96,142784,7,109,142784
97,55988,13,188,55988
98,144095,8,125,144095
99,215371,7,96,215371
