,rstring,convtime,visited,bestrule
0,150454,23,249,150454
1,210963,10,139,210963
2,123626,10,158,123626
3,221441,22,247,221441
4,26484,19,243,26484
5,3409,10,139,3409
6,94032,19,216,94032
7,138302,18,218,138302
8,205787,9,141,205787
9,3776,13,151,3776
10,109334,11,153,109334
11,50928,17,216,50928
12,258135,9,142,258135
13,28045,15,165,28045
14,35582,7,119,35582
15,210828,28,259,210828
16,108837,8,118,108837
17,78591,7,125,78591
18,220287,7,108,220287
19,64061,16,192,64061
20,76583,11,142,76583
21,127281,15,200,127281
22,256642,24,243,256642
23,240313,12,176,240313
24,123547,7,107,123547
25,115669,9,144,115669
26,124201,13,166,124201
27,184533,17,211,184533
28,53680,30,294,53424
29,60986,8,127,60986
30,153840,11,160,153840
31,23767,11,146,23767
32,53157,12,179,53157
33,34862,14,190,34862
34,84672,4,63,84672
35,186558,6,102,186558
36,220506,6,108,220506
37,5242,18,240,5242
38,43271,9,145,43271
39,192568,14,180,192568
40,120608,11,151,120608
41,134581,14,171,134581
42,94623,10,136,94623
43,43852,13,187,43852
44,87828,11,155,87828
45,65203,12,161,65203
46,10652,8,140,10652
47,219215,11,175,219215
48,110024,9,126,110024
49,183313,26,259,183313
50,232940,9,125,232940
51,55695,13,186,55695
52,255074,12,167,255074
53,54904,9,146,54904
54,219865,4,77,219865
55,219208,5,92,219208
56,34786,13,165,34786
57,195843,14,196,195843
58,116114,10,144,116114
59,108224,7,122,108224
60,196262,6,96,196262
61,203668,25,235,203668
62,203761,21,213,203761
63,141752,17,205,141752
64,131527,5,92,131527
65,141512,10,145,141512
66,246897,9,135,246897
67,85851,6,111,85851
68,6055,9,125,6055
69,20963,19,219,20963
70,78016,12,149,78016
71,165683,11,173,165683
72,246344,10,138,246344
73,170748,8,143,170748
74,250744,10,123,250744
75,49981,6,103,49981
76,179735,12,166,179735
77,252150,11,157,252150
78,164775,12,197,164775
79,13043,15,194,13043
80,154258,7,109,154258
81,26258,11,138,26258
82,186122,11,138,186122
83,195105,21,232,195105
84,27839,5,90,27839
85,45123,8,125,45123
86,226116,5,88,226116
87,258845,12,132,258845
88,246401,12,189,246401
89,133725,5,103,133725
90,138433,11,160,138433
91,10995,13,144,10995
92,189924,11,151,189924
93,104359,13,181,104359
94,212203,18,210,212203
95,21216,11,144,21216
96,232081,15,163,232081
97,205783,14,202,205783
98,36020,15,213,36020
99,190168,17,222,190168
