,rstring,convtime,visited,bestrule
0,150454,19,213,150454
1,210963,6,91,210963
2,123626,9,138,123626
3,221441,5,88,221441
4,26484,11,147,26484
5,3409,17,178,3409
6,94032,6,102,94032
7,138302,10,131,138302
8,205787,9,128,205787
9,3776,12,154,3776
10,109334,8,139,109334
11,50928,16,185,50928
12,258135,7,123,258135
13,28045,7,120,28045
14,35582,15,170,35582
15,210828,7,112,210828
16,108837,7,112,108837
17,78591,8,111,78591
18,220287,16,187,220287
19,64061,5,85,64061
20,76583,16,185,76583
21,127281,11,142,127281
22,256642,11,142,256642
23,240313,10,115,240313
24,123547,5,102,123547
25,115669,8,123,115669
26,124201,18,171,124201
27,184533,10,152,184533
28,53680,7,115,53680
29,60986,10,143,60986
30,153840,13,151,153840
31,23767,12,151,23767
32,53157,19,195,53157
33,34862,8,113,34862
34,84672,6,104,84672
35,186558,12,162,186558
36,220506,6,101,220506
37,5242,8,120,5242
38,43271,6,97,43271
39,192568,6,113,192568
40,120608,8,120,120608
41,134581,13,168,134581
42,94623,14,164,94623
43,43852,9,130,43852
44,87828,9,136,87828
45,65203,11,132,65203
46,10652,13,153,10652
47,219215,13,167,219215
48,110024,8,104,110024
49,183313,10,129,183313
50,232940,10,159,232940
51,55695,8,129,55695
52,255074,8,125,255074
53,54904,12,137,54904
54,219865,8,109,219865
55,219208,8,126,219208
56,34786,10,135,34786
57,195843,5,86,195843
58,116114,9,148,116114
59,108224,7,115,108224
60,196262,3,62,196262
61,203668,8,118,203668
62,203761,6,100,203761
63,141752,4,72,141752
64,131527,9,121,131527
65,141512,9,104,141512
66,246897,12,170,246897
67,85851,7,123,85851
68,6055,20,192,6055
69,20963,18,165,20963
70,78016,8,117,78016
71,165683,5,88,165683
72,246344,7,107,246344
73,170748,8,119,170748
74,250744,11,148,250744
75,49981,17,186,49981
76,179735,7,108,179735
77,252150,6,100,252150
78,164775,9,136,164775
79,13043,8,122,13043
80,154258,14,172,154258
81,26258,3,68,26258
82,186122,10,144,186122
83,195105,12,166,195105
84,27839,12,158,27839
85,45123,5,90,45123
86,226116,5,100,226116
87,258845,11,151,258845
88,246401,8,119,246401
89,133725,16,203,133725
90,138433,8,110,138433
91,10995,12,151,10995
92,189924,5,95,189924
93,104359,9,133,104359
94,212203,8,122,212203
95,21216,8,120,21216
96,232081,8,122,232081
97,205783,8,127,205783
98,36020,7,107,36020
99,190168,17,233,190168
