,rstring,convtime,visited,bestrule
0,150454,30,303,137662
1,210963,25,324,210963
2,123626,30,321,129250
3,221441,30,351,219521
4,26484,30,284,96804
5,3409,30,386,9537
6,94032,30,349,94432
7,138302,30,302,144670
8,205787,30,405,245407
9,3776,30,353,34960
10,109334,30,290,101278
11,50928,13,179,50928
12,258135,30,391,195707
13,28045,12,168,28045
14,35582,30,242,30446
15,210828,22,209,210828
16,108837,30,287,108193
17,78591,30,275,97335
18,220287,30,378,259547
19,64061,30,293,98135
20,76583,30,305,35879
21,127281,30,329,110825
22,256642,30,323,254274
23,240313,30,226,262129
24,123547,30,288,123131
25,115669,30,351,117841
26,124201,30,263,129217
27,184533,15,193,184533
28,53680,30,282,62624
29,60986,20,192,60986
30,153840,30,244,158320
31,23767,30,313,22235
32,53157,30,243,41959
33,34862,30,338,37902
34,84672,30,325,6928
35,186558,30,389,248830
36,220506,30,359,225742
37,5242,30,284,13722
38,43271,30,293,68327
39,192568,30,249,255736
40,120608,30,346,115040
41,134581,30,305,136269
42,94623,30,287,79871
43,43852,30,289,39756
44,87828,30,269,66604
45,65203,10,160,65203
46,10652,30,219,12828
47,219215,30,320,220239
48,110024,30,352,122688
49,183313,30,301,169385
50,232940,30,325,233452
51,55695,30,346,64207
52,255074,30,303,246898
53,54904,30,271,94328
54,219865,30,324,226457
55,219208,30,327,218184
56,34786,30,295,42816
57,195843,30,271,194371
58,116114,30,220,128
59,108224,30,331,101600
60,196262,30,362,261430
61,203668,30,301,202324
62,203761,29,368,203761
63,141752,30,322,163592
64,131527,30,397,133003
65,141512,30,274,149636
66,246897,15,188,246897
67,85851,30,361,74591
68,6055,30,268,79
69,20963,30,339,4515
70,78016,30,295,74080
71,165683,30,245,204035
72,246344,30,338,229864
73,170748,30,266,187756
74,250744,30,271,261296
75,49981,17,219,49981
76,179735,30,297,211743
77,252150,30,292,196506
78,164775,30,273,171683
79,13043,30,313,13171
80,154258,30,325,151684
81,26258,30,327,67268
82,186122,30,320,230150
83,195105,30,277,193633
84,27839,30,240,32605
85,45123,24,256,45123
86,226116,30,308,247520
87,258845,30,314,255853
88,246401,30,313,235425
89,133725,30,296,135069
90,138433,30,303,147137
91,10995,30,339,13235
92,189924,30,304,246260
93,104359,30,297,105159
94,212203,30,401,175485
95,21216,30,372,17160
96,232081,30,315,229537
97,205783,30,245,214733
98,36020,30,321,11540
99,190168,30,289,256498
