,epoch,vals
0,0,33728
1,0,21953
2,0,29824
3,0,17254
4,0,156002
5,0,97696
6,0,118800
7,0,1148
8,0,79152
9,0,55940
10,1,37216
11,1,61808
12,1,18690
13,1,1697
14,1,17170
15,1,44448
16,1,153826
17,1,26947
18,1,123009
19,1,135841
20,2,19256
21,2,150976
22,2,50498
23,2,54884
24,2,147768
25,2,25196
26,2,27400
27,2,15856
28,2,15073
29,2,121264
30,3,16488
31,3,149216
32,3,22178
33,3,69216
34,3,66944
35,3,21994
36,3,17493
37,3,25908
38,3,25578
39,3,50770
40,4,417
41,4,61544
42,4,562
43,4,156064
44,4,88552
45,4,10561
46,4,36929
47,4,63586
48,4,43233
49,4,63952
50,5,53664
51,5,20740
52,5,49540
53,5,19960
54,5,83464
55,5,9218
56,5,10466
57,5,53128
58,5,53748
59,5,223520
60,6,30824
61,6,115489
62,6,127264
63,6,65665
64,6,34209
65,6,119396
66,6,2644
67,6,72040
68,6,30148
69,6,54020
70,7,17136
71,7,29056
72,7,418
73,7,152162
74,7,88192
75,7,88353
76,7,19625
77,7,3010
78,7,57729
79,7,117025
80,8,53984
81,8,26752
82,8,25441
83,8,83056
84,8,29025
85,8,50530
86,8,61520
87,8,90916
88,8,3266
89,8,17587
90,9,149604
91,9,2789
92,9,93008
93,9,59460
94,9,246128
95,9,153808
96,9,59652
97,9,150098
98,9,132034
99,9,93569
100,10,85345
101,10,45344
102,10,55504
103,10,48480
104,10,149234
105,10,58473
106,10,2373
107,10,60900
108,10,116034
109,10,182050
110,11,90608
111,11,71008
112,11,18818
113,11,16934
114,11,149008
115,11,180324
116,11,15728
117,11,86386
118,11,180456
119,11,45296
120,12,149344
121,12,51441
122,12,148608
123,12,62464
124,12,50385
125,12,18188
126,12,149222
127,12,90052
128,12,59081
129,12,215617
130,13,27376
131,13,61504
132,13,10088
133,13,56673
134,13,52240
135,13,155233
136,13,27313
137,13,121216
138,13,47520
139,13,5993
140,14,19682
141,14,17416
142,14,50753
143,14,60400
144,14,94328
145,14,90818
146,14,8835
147,14,103521
148,14,113504
149,14,32980
150,15,225
151,15,17353
152,15,77408
153,15,91512
154,15,117105
155,15,157809
156,15,67585
157,15,63617
158,15,90962
159,15,150281
160,16,21488
161,16,82280
162,16,5985
163,16,91240
164,16,12392
165,16,22228
166,16,25253
167,16,188912
168,16,50476
169,16,216736
170,17,23776
171,17,28208
172,17,82722
173,17,123552
174,17,36176
175,17,86252
176,17,17468
177,17,182756
178,17,131234
179,17,136808
180,18,19074
181,18,250208
182,18,29252
183,18,33016
184,18,53618
185,18,148360
186,18,50897
187,18,31092
188,18,29257
189,18,16718
190,19,50112
191,19,114912
192,19,58624
193,19,4673
194,19,148069
195,19,35696
196,19,120800
197,19,97440
198,19,1126
199,19,190576
200,20,53953
201,20,85060
202,20,50882
203,20,92200
204,20,90369
205,20,61409
206,20,27576
207,20,10322
208,20,86962
209,20,183368
210,21,25393
211,21,22468
212,21,151912
213,21,5860
214,21,51329
215,21,12976
216,21,5960
217,21,49766
218,21,84056
219,21,247920
220,22,19168
221,22,53296
222,22,17012
223,22,55472
224,22,151552
225,22,58097
226,22,35248
227,22,5080
228,22,378
229,22,13425
230,23,148544
231,23,20593
232,23,22641
233,23,50512
234,23,151905
235,23,213064
236,23,41377
237,23,58729
238,23,30658
239,23,77600
240,24,27040
241,24,1416
242,24,59752
243,24,10192
244,24,59368
245,24,16601
246,24,657
247,24,24241
248,24,55025
249,24,20997
250,25,18281
251,25,25360
252,25,17194
253,25,4
254,25,139872
255,25,2153
256,25,23249
257,25,90640
258,25,30449
259,25,29380
260,26,17472
261,26,21824
262,26,10208
263,26,49744
264,26,3200
265,26,90465
266,26,12592
267,26,20340
268,26,24678
269,26,6516
270,27,147704
271,27,59940
272,27,83892
273,27,115180
274,27,17334
275,27,26698
276,27,92098
277,27,145216
278,27,44388
279,27,118117
280,28,536
281,28,40304
282,28,52201
283,28,27736
284,28,147827
285,28,47744
286,28,135632
287,28,184642
288,28,19718
289,28,214472
290,29,148452
291,29,100832
292,29,61344
293,29,117864
294,29,41544
295,29,214593
296,29,22954
297,29,68897
298,29,55810
299,29,181865
300,30,37408
301,30,83328
302,30,209
303,30,45152
304,30,17573
305,30,42144
306,30,9928
307,30,74593
308,30,153154
309,30,64072
