,rstring,convtime,visited,bestrule
0,185803,8,132,185803
1,30827,11,148,30827
2,185433,8,129,185433
3,66248,7,103,66248
4,181764,1,36,181764
5,183637,9,140,183637
6,50710,7,93,50710
7,228583,9,133,228583
8,42458,12,151,42458
9,106179,8,133,106179
10,45585,5,87,45585
11,239107,13,147,239107
12,183567,9,139,183567
13,30756,16,187,30756
14,239424,10,127,239424
15,104174,5,89,104174
16,81797,5,88,81797
17,47372,4,79,47372
18,202865,8,125,202865
19,186270,13,170,186270
20,100229,10,141,100229
21,85446,17,176,85446
22,120985,5,85,120985
23,112907,8,131,112907
24,63357,12,164,63357
25,124902,7,110,124902
26,34142,10,144,34142
27,255090,10,137,255090
28,20472,5,105,20472
29,13675,14,178,13675
30,135015,7,107,135015
31,41736,7,94,41736
32,126432,6,93,126432
33,212422,9,111,212422
34,205778,9,126,205778
35,85849,16,208,85849
36,101820,10,136,101820
37,145044,9,140,145044
38,116540,10,133,116540
39,21230,11,149,21230
40,180994,8,107,180994
41,181171,11,138,181171
42,121433,7,111,121433
43,233228,11,136,233228
44,119414,7,126,119414
45,11988,11,137,11988
46,16479,10,156,16479
47,55669,14,192,55669
48,146509,16,195,146509
49,189593,10,156,189593
50,58804,9,123,58804
51,92513,15,191,92513
52,176434,17,198,176434
53,161887,8,121,161887
54,122575,12,154,122575
55,144173,7,102,144173
56,111405,15,164,111405
57,253627,6,93,253627
58,232969,8,132,232969
59,103922,7,115,103922
60,242603,6,101,242603
61,182543,20,209,182543
62,73069,7,120,73069
63,186848,9,129,186848
64,115674,11,157,115674
65,61162,6,91,61162
66,67251,16,187,67251
67,169618,14,163,169618
68,163109,19,193,163109
69,141369,5,88,141369
70,235266,5,91,235266
71,47587,16,186,47587
72,127132,4,74,127132
73,229580,11,134,229580
74,235329,7,119,235329
75,176551,8,132,176551
76,219317,15,185,219317
77,243371,10,114,243371
78,85015,11,172,85015
79,221490,11,152,221490
80,249398,13,170,249398
81,97240,12,179,97240
82,14163,9,133,14163
83,176546,14,167,176546
84,109497,7,106,109497
85,187535,5,86,187535
86,40787,11,141,40787
87,132062,9,137,132062
88,85932,6,98,85932
89,72711,4,84,72711
90,105340,12,144,105340
91,97093,9,122,97093
92,136047,6,87,136047
93,148694,13,160,148694
94,150422,11,139,150422
95,75722,9,139,75722
96,142784,7,128,142784
97,55988,9,121,55988
98,144095,13,170,144095
99,215371,11,146,215371
