,Objective fitness,Relative Fitness
0,0.0,0.0
1,56.5,56.5
2,72.5,72.5
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,57.0,57.0
7,0.0,0.0
8,41.5,41.5
9,42.5,42.5
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,52.5,52.5
14,0.0,0.0
15,55.0,55.0
16,64.0,64.0
17,0.0,0.0
18,66.5,66.5
19,0.0,0.0
20,60.5,60.5
21,62.0,62.0
22,63.5,63.5
23,57.0,57.0
24,57.5,57.5
25,52.5,52.5
26,0.0,0.0
27,0.0,0.0
28,49.5,49.5
29,3.5,3.5
30,4.5,4.5
31,0.0,0.0
32,7.0,7.0
33,93.5,93.5
34,51.0,51.0
35,10.5,10.5
36,11.5,11.5
37,0.0,0.0
38,14.0,14.0
39,0.0,0.0
40,0.0,0.0
41,52.5,52.5
42,46.0,46.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,21.5,21.5
47,81.5,81.5
48,0.0,0.0
49,59.0,59.0
50,76.0,76.0
51,0.0,0.0
52,80.5,80.5
53,46.0,46.0
54,52.5,52.5
55,0.0,0.0
56,47.5,47.5
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,94.0,94.0
63,40.0,40.0
64,0.0,0.0
65,33.5,33.5
66,0.0,0.0
67,60.0,60.0
68,0.0,0.0
69,0.0,0.0
70,61.0,61.0
71,62.0,62.0
72,4.5,4.5
73,51.0,51.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,34.5,34.5
78,0.0,0.0
79,22.0,22.0
80,56.0,56.0
81,63.0,63.0
82,17.5,17.5
83,42.5,42.5
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,82.0,82.0
88,0.0,0.0
89,58.5,58.5
90,0.0,0.0
91,56.0,56.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,10.5,10.5
96,0.0,0.0
97,37.0,37.0
98,25.5,25.5
99,48.5,48.5
