,epoch,vals
0,0,3664
1,0,16928
2,0,68132
3,0,57680
4,0,25857
5,0,75394
6,0,16616
7,0,75584
8,0,147792
9,0,84864
10,0,165328
11,0,55484
12,0,134774
13,0,78889
14,0,139162
15,0,60698
16,0,196850
17,0,52314
18,0,205554
19,0,104274
20,1,16976
21,1,896
22,1,18976
23,1,8528
24,1,3664
25,1,3688
26,1,22920
27,1,57680
28,1,68132
29,1,132560
30,1,9922
31,1,57680
32,1,1618
33,1,52608
34,1,50258
35,1,69200
36,1,25938
37,1,17640
38,1,68152
39,1,52306
40,2,17792
41,2,8464
42,2,19104
43,2,3616
44,2,3664
45,2,8528
46,2,8528
47,2,36224
48,2,18984
49,2,16976
50,2,22920
51,2,36224
52,2,34400
53,2,23944
54,2,50192
55,2,10178
56,2,22920
57,2,1618
58,2,5826
59,2,57680
60,3,1568
61,3,2592
62,3,8464
63,3,8464
64,3,19840
65,3,3920
66,3,8464
67,3,19104
68,3,24834
69,3,34312
70,3,17792
71,3,19232
72,3,18984
73,3,3624
74,3,34976
75,3,21664
76,3,36224
77,3,36240
78,3,17232
79,3,10180
80,4,2208
81,4,3456
82,4,17792
83,4,2832
84,4,18208
85,4,1632
86,4,16768
87,4,8576
88,4,19232
89,4,9488
90,4,12832
91,4,8194
92,4,10112
93,4,800
94,4,8464
95,4,16936
96,4,17232
97,4,34064
98,4,9736
99,4,17928
100,5,8576
101,5,1600
102,5,1632
103,5,2944
104,5,3456
105,5,8608
106,5,9760
107,5,3456
108,5,18816
109,5,16768
110,5,1544
111,5,17952
112,5,8992
113,5,18304
114,5,10112
115,5,26496
116,5,10112
117,5,9488
118,5,17232
119,5,6304
120,6,256
121,6,16768
122,6,1408
123,6,800
124,6,17152
125,6,1600
126,6,896
127,6,2432
128,6,3456
129,6,3456
130,6,1632
131,6,2944
132,6,8576
133,6,656
134,6,12800
135,6,13088
136,6,17952
137,6,9986
138,6,1728
139,6,8576
140,7,256
141,7,1088
142,7,320
143,7,1280
144,7,1632
145,7,17280
146,7,800
147,7,3456
148,7,2944
149,7,17152
150,7,9472
151,7,384
152,7,2432
153,7,18112
154,7,800
155,7,2976
156,7,17280
157,7,912
158,7,3328
159,7,3456
160,8,288
161,8,384
162,8,1280
163,8,800
164,8,2816
165,8,768
166,8,9472
167,8,896
168,8,17152
169,8,320
170,8,1568
171,8,4896
172,8,384
173,8,2432
174,8,3328
175,8,256
176,8,2976
177,8,1632
178,8,16768
179,8,17312
180,9,1280
181,9,1280
182,9,32
183,9,288
184,9,768
185,9,544
186,9,384
187,9,384
188,9,288
189,9,17152
190,9,256
191,9,896
192,9,784
193,9,896
194,9,320
195,9,2432
196,9,1568
197,9,2816
198,9,768
199,9,1568
200,10,256
201,10,384
202,10,768
203,10,1568
204,10,384
205,10,896
206,10,384
207,10,256
208,10,896
209,10,288
210,10,1280
211,10,32
212,10,256
213,10,384
214,10,1280
215,10,784
216,10,272
217,10,1408
218,10,32
219,10,1024
220,11,0
221,11,1024
222,11,32
223,11,1024
224,11,768
225,11,32
226,11,768
227,11,1280
228,11,768
229,11,256
230,11,800
231,11,384
232,11,1568
233,11,768
234,11,384
235,11,4128
236,11,4128
237,11,768
238,11,272
239,11,1568
240,12,0
241,12,768
242,12,256
243,12,512
244,12,512
245,12,384
246,12,768
247,12,768
248,12,832
249,12,32
250,12,1024
251,12,768
252,12,768
253,12,768
254,12,1568
255,12,272
256,12,768
257,12,4640
258,12,544
259,12,0
260,13,512
261,13,768
262,13,256
263,13,0
264,13,512
265,13,768
266,13,896
267,13,1568
268,13,1152
269,13,1024
270,13,0
271,13,768
272,13,832
273,13,32
274,13,768
275,13,0
276,13,768
277,13,320
278,13,544
279,13,32
280,14,0
281,14,0
282,14,0
283,14,512
284,14,256
285,14,544
286,14,0
287,14,32
288,14,0
289,14,768
290,14,768
291,14,768
292,14,768
293,14,256
294,14,256
295,14,1024
296,14,288
297,14,896
298,14,32
299,14,16896
300,15,256
301,15,512
302,15,0
303,15,768
304,15,256
305,15,0
306,15,256
307,15,288
308,15,0
309,15,512
310,15,544
311,15,768
312,15,32
313,15,96
314,15,512
315,15,1056
316,15,1024
317,15,1024
318,15,32
319,15,1280
320,16,0
321,16,1024
322,16,0
323,16,768
324,16,512
325,16,768
326,16,0
327,16,1152
328,16,256
329,16,832
330,16,256
331,16,32
332,16,2048
333,16,32
334,16,512
335,16,544
336,16,256
337,16,32
338,16,32
339,16,256
340,17,256
341,17,1024
342,17,512
343,17,0
344,17,256
345,17,128
346,17,512
347,17,32
348,17,256
349,17,768
350,17,0
351,17,32
352,17,16
353,17,832
354,17,0
355,17,0
356,17,1152
357,17,0
358,17,1536
359,17,32
360,18,0
361,18,256
362,18,0
363,18,512
364,18,128
365,18,128
366,18,256
367,18,1536
368,18,1024
369,18,0
370,18,32
371,18,32
372,18,256
373,18,512
374,18,0
375,18,768
376,18,0
377,18,1824
378,18,2048
379,18,256
380,19,256
381,19,256
382,19,128
383,19,32
384,19,256
385,19,512
386,19,0
387,19,128
388,19,1536
389,19,0
390,19,0
391,19,288
392,19,640
393,19,1824
394,19,16
395,19,288
396,19,1536
397,19,256
398,19,128
399,19,512
400,20,0
401,20,512
402,20,0
403,20,0
404,20,192
405,20,640
406,20,288
407,20,96
408,20,288
409,20,2048
410,20,512
411,20,1792
412,20,256
413,20,1664
414,20,2176
415,20,256
416,20,8704
417,20,16640
418,20,17920
419,20,256
420,21,512
421,21,0
422,21,256
423,21,256
424,21,896
425,21,2048
426,21,0
427,21,2048
428,21,288
429,21,2048
430,21,0
431,21,1152
432,21,288
433,21,2048
434,21,272
435,21,0
436,21,1664
437,21,8192
438,21,0
439,21,288
440,22,512
441,22,0
442,22,256
443,22,256
444,22,128
445,22,896
446,22,288
447,22,2048
448,22,16384
449,22,288
450,22,288
451,22,256
452,22,128
453,22,512
454,22,0
455,22,0
456,22,0
457,22,256
458,22,1696
459,22,8480
460,23,256
461,23,512
462,23,0
463,23,256
464,23,288
465,23,128
466,23,256
467,23,512
468,23,384
469,23,256
470,23,288
471,23,512
472,23,256
473,23,0
474,23,0
475,23,16384
476,23,16640
477,23,16384
478,23,256
479,23,0
480,24,256
481,24,256
482,24,256
483,24,512
484,24,0
485,24,256
486,24,0
487,24,256
488,24,512
489,24,0
490,24,288
491,24,192
492,24,1280
493,24,0
494,24,128
495,24,8192
496,24,16384
497,24,256
498,24,0
499,24,4352
500,25,0
501,25,0
502,25,0
503,25,0
504,25,1280
505,25,256
506,25,0
507,25,0
508,25,0
509,25,128
510,25,2304
511,25,192
512,25,16384
513,25,512
514,25,256
515,25,384
516,25,32768
517,25,4160
518,25,8192
519,25,8192
520,26,512
521,26,64
522,26,0
523,26,384
524,26,0
525,26,0
526,26,0
527,26,128
528,26,32
529,26,4096
530,26,512
531,26,0
532,26,384
533,26,8192
534,26,320
535,26,0
536,26,16896
537,26,256
538,26,256
539,26,384
540,27,0
541,27,512
542,27,256
543,27,256
544,27,0
545,27,0
546,27,0
547,27,512
548,27,2048
549,27,384
550,27,512
551,27,512
552,27,800
553,27,512
554,27,128
555,27,16896
556,27,4128
557,27,0
558,27,0
559,27,9280
560,28,512
561,28,0
562,28,128
563,28,512
564,28,512
565,28,512
566,28,512
567,28,0
568,28,0
569,28,32
570,28,0
571,28,192
572,28,0
573,28,16384
574,28,3072
575,28,0
576,28,0
577,28,0
578,28,4608
579,28,0
580,29,0
581,29,0
582,29,512
583,29,512
584,29,0
585,29,0
586,29,0
587,29,0
588,29,512
589,29,512
590,29,32
591,29,512
592,29,512
593,29,0
594,29,544
595,29,0
596,29,0
597,29,1536
598,29,128
599,29,16512
600,30,0
601,30,0
602,30,0
603,30,512
604,30,512
605,30,512
606,30,512
607,30,32
608,30,32
609,30,1024
610,30,1568
611,30,32
612,30,512
613,30,16512
614,30,1536
615,30,512
616,30,512
617,30,0
618,30,32768
619,30,288
